Species,RoostCode,MaxCountInAnyYear,County,Region,Country
Serotine,1030051,60,Hampshire,South East,England
Serotine,5100328,60,Surrey,South East,England
Serotine,1030043,56,Somerset,South West,England
Serotine,1030054,56,Surrey,South East,England
Serotine,1030025,56,East Sussex,South East,England
Serotine,1030002,55,Hertfordshire,East of England,England
Serotine,5101055,54,Surrey,South East,England
Serotine,1030021,49,West Sussex,South East,England
Serotine,1030135,46,Gloucestershire,South West,England
Serotine,1030049,46,Surrey,South East,England
Serotine,1030134,45,West Sussex,South East,England
Serotine,1030082,43,Dorset,South West,England
Serotine,5100095,41,East Sussex,South East,England
Serotine,1030093,40,Wiltshire,South West,England
Serotine,1030123,40,Kent,South East,England
Serotine,1030130,40,Dorset,South West,England
Serotine,1030012,39,Kent,South East,England
Serotine,1030008,39,Kent,South East,England
Serotine,1030059,39,Suffolk,East of England,England
Serotine,1030053,38,Suffolk,East of England,England
Serotine,5100688,38,Wiltshire,South West,England
Serotine,1030111,38,Isle of Wight,South East,England
Serotine,1030121,38,Somerset,South West,England
Serotine,1030010,38,Kent,South East,England
Serotine,1030052,36,Dorset,South West,England
Serotine,1030026,36,West Sussex,South East,England
Serotine,1030056,35,Somerset,South West,England
Serotine,1030106,35,Dorset,South West,England
Serotine,5101016,34,Isle of Wight,South East,England
Serotine,1030009,34,Kent,South East,England
Serotine,1030078,33,Hampshire,South East,England
Serotine,1030024,33,Kent,South East,England
Serotine,5100065,32,Devon,South West,England
Serotine,1030122,31,Kent,South East,England
Serotine,1030033,31,East Sussex,South East,England
Serotine,5100700,31,Bedfordshire,East of England,England
Serotine,1030129,31,Somerset,South West,England
Serotine,1030126,31,Somerset,South West,England
Serotine,1030105,28,Bath and North East Somerset,South West,England
Serotine,1030118,27,East Sussex,South East,England
Serotine,5100624,25,West Sussex,South East,England
Serotine,1030084,25,Surrey,South East,England
Serotine,1030030,25,Dorset,South West,England
Serotine,5100062,25,East Sussex,South East,England
Serotine,1030050,25,Wiltshire,South West,England
Serotine,1030018,24,East Sussex,South East,England
Serotine,1030115,24,Dorset,South West,England
Serotine,5100046,24,Isle of Wight,South East,England
Serotine,1030107,24,Somerset,South West,England
Serotine,1030113,23,Suffolk,East of England,England
Serotine,1030090,22,Dorset,South West,England
Serotine,5100053,22,East Sussex,South East,England
Serotine,1030045,21,Somerset,South West,England
Serotine,1030125,21,Greater London,London,England
Serotine,1030020,20,East Sussex,South East,England
Serotine,1030031,20,East Sussex,South East,England
Serotine,1030022,19,West Sussex,South East,England
Serotine,1030029,19,Somerset,South West,England
Serotine,1030016,18,West Sussex,South East,England
Serotine,1030099,18,West Sussex,South East,England
Serotine,1030120,18,Isle of Wight,South East,England
Serotine,5100379,18,Buckinghamshire,South East,England
Serotine,1030015,17,Kent,South East,England
Serotine,1030058,17,Isle of Wight,South East,England
Serotine,1030060,17,Cambridgeshire,East of England,England
Serotine,1030023,17,West Sussex,South East,England
Serotine,1030003,16,Isle of Wight,South East,England
Serotine,1030085,15,West Sussex,South East,England
Serotine,1030014,15,Kent,South East,England
Serotine,1030057,15,Isle of Wight,South East,England
Serotine,1030001,15,Essex,East of England,England
Serotine,5100274,14,Bedfordshire,East of England,England
Serotine,1030119,13,Dorset,South West,England
Serotine,1030032,13,East Sussex,South East,England
Serotine,1030133,12,Bedfordshire,East of England,England
Serotine,1030011,12,Kent,South East,England
Serotine,1030048,11,Surrey,South East,England
Serotine,1030112,11,Isle of Wight,South East,England
Serotine,1030047,11,Somerset,South West,England
Serotine,1030104,10,Wiltshire,South West,England
Serotine,1030061,10,Wiltshire,South West,England
Serotine,1030095,9,Hampshire,South East,England
Serotine,1030040,8,Surrey,South East,England
Serotine,1030036,8,Greater London,London,England
Serotine,1030096,8,Hampshire,South East,England
Serotine,1030035,7,Kent,South East,England
Serotine,1030114,6,Surrey,South East,England
Serotine,1030100,6,Hertfordshire,East of England,England
Serotine,1030038,6,Norfolk,East of England,England
Serotine,1030044,4,Bath and North East Somerset,South West,England
Serotine,1030068,4,Hampshire,South East,England
Serotine,1030091,3,Surrey,South East,England
Serotine,1030092,2,Surrey,South East,England
Serotine,1030034,2,Kent,South East,England
Serotine,1030072,2,Hampshire,South East,England
Serotine,1030081,2,Hampshire,South East,England
Serotine,1030098,2,Kent,South East,England
Serotine,1030101,2,Surrey,South East,England
Serotine,1030109,2,Kent,South East,England
Serotine,1030137,2,Somerset,South West,England
Serotine,1030103,1,Dorset,South West,England
Serotine,1030007,1,Kent,South East,England
Serotine,1030075,1,Hampshire,South East,England
Serotine,1030019,1,East Sussex,South East,England
Serotine,1030138,1,East Sussex,South East,England
Serotine,5101035,1,Kent,South East,England
Soprano pipistrelle,1121029,2136,Essex,East of England,England
Soprano pipistrelle,3120032,1534,Conwy,Wales,Wales
Soprano pipistrelle,3120015,1526,Gwynedd,Wales,Wales
Soprano pipistrelle,3120062,1450,Pembrokeshire,Wales,Wales
Soprano pipistrelle,4120004,1429,Antrim,Northern Ireland,Northern Ireland
Soprano pipistrelle,2120026,1385,West Lothian,Scotland,Scotland
Soprano pipistrelle,5100148,1383,Stirling,Scotland,Scotland
Soprano pipistrelle,1120452,1382,Herefordshire,West Midlands,England
Soprano pipistrelle,1121282,1324,Rutland,East Midlands,England
Soprano pipistrelle,1120059,1320,Kent,South East,England
Soprano pipistrelle,5100214,1303,Highland,Scotland,Scotland
Soprano pipistrelle,2120146,1252,Perth and Kinross,Scotland,Scotland
Soprano pipistrelle,1121149,1243,Bedfordshire,East of England,England
Soprano pipistrelle,1121105,1211,Dorset,South West,England
Soprano pipistrelle,1120126,1208,Devon,South West,England
Soprano pipistrelle,2120090,1191,Fife,Scotland,Scotland
Soprano pipistrelle,1120012,1141,Derbyshire,East Midlands,England
